Chromosome	bp	Variations	proteincodinggenes	pseudo genes	longncRNA	smallncRNA	miRNA	rRNA	snRNA	snoRNA	MiscNCRNA	CEP	cumPC	sumdist	cumdist2	CEPlocation
1	248956422	12151146	2058	1220	1200	496	134	66	221	145	192	125	7.9	0	248956422	125000000
2	242193529	12945965	1309	1023	1037	375	115	40	161	117	176	93.3	16.2	248956422	491149951	342256422
3	198295559	10638715	1078	763	711	298	99	29	138	87	134	91	23	491149951	689445510	582149951
4	190214555	10165685	752	727	657	228	92	24	120	56	104	50.4	29.6	689445510	879660065	739845510
5	181538259	9519995	876	721	844	235	83	25	106	61	119	48.4	35.8	879660065	1061198324	928060065
6	170805979	9130476	1048	801	639	234	81	26	111	73	105	61	41.6	1061198324	1232004303	1122198324
7	159345973	8613298	989	885	605	208	90	24	90	76	143	59.9	47.1	1232004303	1391350276	1291904303
8	145138636	8221520	677	613	735	214	80	28	86	52	82	45.6	52	1391350276	1536488912	1436950276
9	138394717	6590811	786	661	491	190	69	19	66	51	96	49	56.3	1536488912	1674883629	1585488912
10	133797422	7223944	733	568	579	204	64	32	87	56	89	40.2	60.9	1674883629	1808681051	1715083629
11	135086622	7535370	1298	821	710	233	63	24	74	76	97	53.7	65.4	1808681051	1943767673	1862381051
12	133275309	7228129	1034	617	848	227	72	27	106	62	115	35.8	70	1943767673	2077042982	1979567673
13	114364328	5082574	327	372	397	104	42	16	45	34	75	17.9	73.4	2077042982	2191407310	2094942982
14	107043718	4865950	830	523	533	239	92	10	65	97	79	17.6	76.4	2191407310	2298451028	2209007310
15	101991189	4515076	613	510	639	250	78	13	63	136	93	19	79.3	2298451028	2400442217	2317451028
16	90338345	5101702	873	465	799	187	52	32	53	58	51	36.6	82	2400442217	2490780562	2437042217
17	83257441	4614972	1197	531	834	235	61	15	80	71	99	24	84.8	2490780562	2574038003	2514780562
18	80373285	4035966	270	247	453	109	32	13	51	36	41	17.2	87.4	2574038003	2654411288	2591238003
19	58617616	3858269	1472	512	628	179	110	13	29	31	61	26.5	89.3	2654411288	2713028904	2680911288
20	64444167	3439621	544	249	384	131	57	15	46	37	68	27.5	91.4	2713028904	2777473071	2740528904
21	46709983	2049697	234	185	305	71	16	5	21	19	24	13.2	92.6	2777473071	2824183054	2790673071
22	50818468	2135311	488	324	357	78	31	5	23	23	62	14.7	93.8	2824183054	2875001522	2838883054
X	156040895	5753881	842	874	271	258	128	22	85	64	100	60.6	99.1	2875001522	3031042417	2935601522
Y	57227415	211643	71	388	71	30	15	7	17	3	8	12.5	100	3031042417	3088269832	3043542417
